Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
P62760,VSNL1,,0.9899,0.0024,*,0.0268,-0.7481
O60749,SNX2,,0.7354,-0.0438,*,0.0429,-0.7333
Q8NBU5,ATAD1,,0.8116,-0.0983,*,0.0245,-1.5255
Q14982,OPCML,,0.7093,-0.0804,*,0.0274,-0.9772
Q9NTJ5,SACM1L,,0.7103,-0.0445,*,0.0340,-0.6099
Q92736,RYR2,,0.7855,0.2386,*,0.0089,-1.4409
Q8IYI6,EXOC8,,0.8782,0.0827,*,0.0162,-0.9495
Q9H254,SPTBN4,,0.9076,0.0499,*,0.0360,-0.6395
Q8N122,RPTOR,,0.6135,-0.2365,*,0.0499,-0.9485
O43237,DYNC1LI2,,0.5374,-0.2536,*,0.0364,-0.8128
Q15111,PLCL1,,0.7317,-0.2593,*,0.0445,-1.4510
Q9NYU2,UGGT1,,0.5180,-0.1772,*,0.0477,-0.7571
P11169,SLC2A3,,0.6281,-0.1479,*,0.0422,-0.8962
Q8IVD9,NUDCD3,,0.6942,-0.1751,*,0.0094,-1.0160
Q8IVF2,AHNAK2,,0.5240,-0.4172,*,0.0218,-1.8579
Q5TF21,SOGA3,,0.5787,-0.1291,*,0.0138,-0.6233
P05141,SLC25A5,,0.3984,-0.2366,*,0.0174,-0.8271
P14174,MIF,,0.4978,-0.2024,*,0.0192,-0.7549
O43674,NDUFB5,,0.4754,-0.2313,*,0.0285,-0.9281
P61328,FGF12,,0.1185,-0.4673,*,0.0239,-1.2492
P84074,HPCA,,0.1487,-0.3396,*,0.0227,-0.9013
Q13509,TUBB3,,0.1961,-0.2478,*,0.0425,-0.7694
P35573,AGL,,0.2406,-0.2104,*,0.0231,-0.6618
Q9NQ66,PLCB1,,0.1385,-0.2478,*,0.0346,-0.6318
P25787,PSMA2,,0.2637,-0.3106,*,0.0433,-0.7978
P54764,EPHA4,,0.1647,-0.2979,*,0.0428,-0.8634
P32969,RPL9,,0.2911,-0.6259,*,0.0102,-1.9260
O43681,ASNA1,,0.2426,-0.3471,*,0.0384,-0.7887
Q14318,FKBP8,,0.2580,-0.2442,*,0.0329,-0.6287
Q9H1Z4,WDR13,,0.1037,-0.4726,*,0.0352,-1.1207
P29992,GNA11,,0.2654,-0.2736,*,0.0346,-0.6631
P62277,RPS13,,0.3643,-0.4245,*,0.0305,-1.1355
Q96AG3,SLC25A46,,0.3130,-0.5736,*,0.0373,-1.4144
Q99569,PKP4,,0.3116,-0.3680,*,0.0311,-1.0431
P49915,GMPS,,0.3559,-0.3376,*,0.0487,-1.0207
Q9Y4P1,ATG4B,,0.2385,-0.4602,*,0.0382,-1.3443
P49792,RANBP2,,0.1079,0.5355,*,0.0181,0.8394
Q9Y5X3,SNX5,,0.1394,0.6573,*,0.0318,1.0543
