Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
Q6Y7W6,GIGYF2,,0.8929,-0.1012,*,0.0071,-0.8238
Q9Y3A3,MOB4,,0.2224,-0.3055,*,0.0489,-1.2696
Q96CM8,ACSF2,,0.6498,-0.2179,*,0.0092,-1.0145
P62280,RPS11,,0.3854,-0.2754,*,0.0156,-1.2046
Q96FE5,LINGO1,,0.7618,-0.2349,*,0.0210,-2.0677
Q8N766,EMC1,,0.9133,-0.0375,*,0.0462,-0.8122
P62854,RPS26,,0.9137,-0.0802,*,0.0188,-1.6416
Q9NUQ2,AGPAT5,,0.8713,-0.0848,*,0.0310,-1.2678
P56556,NDUFA6,,0.8088,-0.0457,*,0.0186,-0.8265
A1L0T0,ILVBL,,0.8074,0.1217,*,0.0081,-1.7773
Q15046,KARS,,0.9181,0.0523,*,0.0161,-1.2768
Q5T5P2,KIAA1217,,0.1490,-0.6101,*,0.0041,-1.5675
Q13362,PPP2R5C,,0.2445,-0.5602,*,0.0037,-1.3955
Q12979,ABR,,0.1237,-0.3561,*,0.0127,-0.8684
P22748,CA4,*,0.0178,-0.7555,*,0.0012,-1.1407
P48729,CSNK1A1,*,0.0079,-0.7812,*,0.0175,-1.1057
Q9ULH1,ASAP1,,0.0566,-0.7812,*,0.0040,-1.0961
P43004,SLC1A2,,0.0221,-0.4558,*,0.0024,-0.5980
Q15173,PPP2R5B,*,0.0385,-0.8521,*,0.0283,-1.3443
Q9H270,VPS11,,0.0527,-0.7947,*,0.0321,-1.1978
Q14558,PRPSAP1,,0.0623,-0.5354,*,0.0116,-0.8473
O15240,VGF,,0.1485,-1.2067,*,0.0053,-2.0141
Q9P1U1,ACTR3B,,0.0273,-0.4306,*,0.0127,-0.6938
Q13224,GRIN2B,,0.1732,-0.4054,*,0.0379,-0.7075
Q9NY33,DPP3,,0.0926,-1.0256,*,0.0226,-1.8706
O60268,KIAA0513,,0.0688,-0.3567,*,0.0333,-0.6587
Q9Y6R0,NUMBL,,0.0884,-0.5219,*,0.0080,-0.9906
Q99961,SH3GL1,,0.0850,-0.4475,*,0.0076,-0.8397
O60359,CACNG3,,0.0994,-0.8712,*,0.0166,-1.6612
Q9Y4F5,CEP170B,,0.2268,-0.3281,*,0.0058,-0.6356
Q8TDJ6,DMXL2,,0.1250,-0.3439,*,0.0172,-0.6927
Q16566,CAMK4,,0.2860,-0.2986,*,0.0261,-0.6254
Q9NX63,CHCHD3,,0.1633,-0.2791,*,0.0411,-0.6138
